LocationDesc,YearStart,obesity,overweight,activity_150,activity_150_strength,activity_300,muscle_strengthening,no_leisure_activity,fruit_lt_1_per_day,vegetables_lt_1_per_day
Alabama,2011,32,34.7,42.4,15,23.9,24.7,32.6,NA,NA
Alaska,2011,27.4,38.9,57.9,25,37.7,33.8,22,NA,NA
Arizona,2011,25.1,37.8,52.8,24.2,33.1,32.5,24.1,NA,NA
Arkansas,2011,30.9,33.9,45.7,16.7,27.8,24.7,30.9,NA,NA
California,2011,23.8,36.4,58.2,23.7,36.1,32.1,19.1,NA,NA
Colorado,2011,20.7,35.4,61.8,27.3,40.7,35.6,16.5,NA,NA
Connecticut,2011,24.5,35.2,52.6,21.8,32.8,30.6,25.5,NA,NA
Delaware,2011,28.8,35,48.5,21.5,28.3,32.3,27,NA,NA
District of Columbia,2011,23.7,29.1,57.6,26.3,34.4,36.1,19.8,NA,NA
Florida,2011,26.6,36.7,52.8,21.4,33.7,29.2,26.9,NA,NA
Georgia,2011,28,34.7,50.7,20.7,31.8,30.2,26.7,NA,NA
Hawaii,2011,21.8,33.8,58.5,23.7,38.1,32.1,21.3,NA,NA
Idaho,2011,27,35.2,57.2,22.4,35.9,30.3,21.4,NA,NA
Illinois,2011,27.1,36.9,51.7,22,31.2,31.4,25.1,NA,NA
Indiana,2011,30.8,34.8,46,17.3,27.5,26,29.2,NA,NA
Iowa,2011,29,35.8,47.6,17.2,26.9,27.5,25.9,NA,NA
Kansas,2011,29.6,34.8,46.8,16.5,26.4,24.5,26.8,NA,NA
Kentucky,2011,30.4,36.1,46.8,17.3,29.3,26.3,29.3,NA,NA
Louisiana,2011,33.4,34.1,42,15.5,25.9,23.9,33.8,NA,NA
Maine,2011,27.8,37.2,56.7,20.6,35.6,27.5,23,NA,NA
Maryland,2011,28.3,36.1,48.7,19.8,28.8,30.2,26.2,NA,NA
Massachusetts,2011,22.7,36.6,56.3,23.3,35.7,32,23.5,NA,NA
Michigan,2011,31.3,34.2,53.5,19.7,33.6,28.8,23.6,NA,NA
Minnesota,2011,25.7,36.8,54,20.9,33.7,29.6,21.9,NA,NA
Mississippi,2011,34.9,34,40,14.2,23.7,23.9,36,NA,NA
