YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity
2011,AL,Alabama,32,42.4,24.7,32.6
2011,AK,Alaska,27.4,57.9,33.8,22
2011,AZ,Arizona,25.1,52.8,32.5,24.1
2011,AR,Arkansas,30.9,45.7,24.7,30.9
2011,CA,California,23.8,58.2,32.1,19.1
2011,CO,Colorado,20.7,61.8,35.6,16.5
2011,CT,Connecticut,24.5,52.6,30.6,25.5
2011,DE,Delaware,28.8,48.5,32.3,27
2011,DC,District of Columbia,23.7,57.6,36.1,19.8
2011,FL,Florida,26.6,52.8,29.2,26.9
2011,GA,Georgia,28,50.7,30.2,26.7
2011,HI,Hawaii,21.8,58.5,32.1,21.3
2011,ID,Idaho,27,57.2,30.3,21.4
2011,IL,Illinois,27.1,51.7,31.4,25.1
2011,IN,Indiana,30.8,46,26,29.2
2011,IA,Iowa,29,47.6,27.5,25.9
2011,KS,Kansas,29.6,46.8,24.5,26.8
2011,KY,Kentucky,30.4,46.8,26.3,29.3
2011,LA,Louisiana,33.4,42,23.9,33.8
2011,ME,Maine,27.8,56.7,27.5,23
2011,MD,Maryland,28.3,48.7,30.2,26.2
2011,MA,Massachusetts,22.7,56.3,32,23.5
2011,MI,Michigan,31.3,53.5,28.8,23.6
2011,MN,Minnesota,25.7,54,29.6,21.9
2011,MS,Mississippi,34.9,40,23.9,36
2011,MO,Missouri,30.3,49.5,24.7,28.4
2011,MT,Montana,24.6,55.3,30.2,24.4
2011,NE,Nebraska,28.4,49,28.1,26.3
2011,NV,Nevada,24.5,52.6,30.1,24.3
2011,NH,New Hampshire,26.2,56.1,30.4,22.5
2011,NJ,New Jersey,23.7,53.2,31.7,26.4
2011,NM,New Mexico,26.3,52.2,31.5,25.3
2011,NY,New York,24.5,51.5,30.1,26.3
2011,NC,North Carolina,29.1,46.8,27.7,26.7
2011,ND,North Dakota,27.8,47.3,27.4,27.1
2011,OH,Ohio,29.6,51.6,30.4,27
2011,OK,Oklahoma,31.1,44.8,23.8,31.2
2011,OR,Oregon,26.7,61.1,30.9,19.8
2011,PA,Pennsylvania,28.6,49.4,27.8,26.2
2011,RI,Rhode Island,25.4,48.7,28.5,26.2
2011,SC,South Carolina,30.8,50,27.6,27.2
2011,SD,South Dakota,28.1,46.1,26.1,27
2011,TN,Tennessee,29.2,39,20.6,35.1
2011,TX,Texas,30.4,48.2,28.3,27.2
2011,UT,Utah,24.4,55.8,32.3,18.9
2011,VT,Vermont,25.4,59.2,29,21
2011,VA,Virginia,29.2,52.4,33.4,25
2011,WA,Washington,26.5,54.2,30.6,22
2011,WV,West Virginia,32.4,43,20.2,35.1
2011,WI,Wisconsin,27.7,57.4,29.2,22.7
2011,WY,Wyoming,25,53.1,29.6,25.5
2011,US,National,27.4,51.6,29.3,25.4
2013,AL,Alabama,32.4,45.4,24.9,31.5
2013,AK,Alaska,28.4,55.3,36,22.3
2013,AZ,Arizona,26.8,51.9,31,25.2
2013,AR,Arkansas,34.6,41.2,22.3,34.4
2013,CA,California,24.1,56.3,33.2,21.4
2013,CO,Colorado,21.3,60.4,35.9,17.9
2013,CT,Connecticut,25,50.9,30,24.9
2013,DE,Delaware,31.1,49.7,31.8,27.8
2013,DC,District of Columbia,22.9,57.7,35.1,19.5
2013,FL,Florida,26.4,50.2,29.6,27.7
2013,GA,Georgia,30.3,50.8,30.7,27.2
2013,HI,Hawaii,21.8,60.2,35,22.1
2013,ID,Idaho,29.6,53.9,30.1,23.7
2013,IL,Illinois,29.4,52.4,30.2,25.1
2013,IN,Indiana,31.8,44,25.6,31
2013,IA,Iowa,31.3,46.9,27.2,28.5
2013,KS,Kansas,30,49.1,26.8,26.5
2013,KY,Kentucky,33.2,46,25.8,30.2
2013,LA,Louisiana,33.1,45.1,25.9,32.2
2013,ME,Maine,28.9,53.6,29.6,23.3
2013,MD,Maryland,28.3,48.6,32,25.3
2013,MA,Massachusetts,23.6,54.5,32.6,23.5
2013,MI,Michigan,31.5,53.1,28.8,24.4
2013,MN,Minnesota,25.5,52.7,31.2,23.5
2013,MS,Mississippi,35.1,37.4,24.3,38.1
2013,MO,Missouri,30.4,48.6,26.4,28.3
2013,MT,Montana,24.6,57.8,31.8,22.5
2013,NE,Nebraska,29.6,50.1,28.4,25.3
2013,NV,Nevada,26.2,53.6,32.8,23.7
2013,NH,New Hampshire,26.7,55.4,32.6,22.4
2013,NJ,New Jersey,26.3,50.5,32,26.8
2013,NM,New Mexico,26.4,55,32,24.3
2013,NY,New York,25.4,47.3,30.1,26.7
2013,NC,North Carolina,29.4,48.6,27.9,26.6
2013,ND,North Dakota,31,45.3,27,27.6
2013,OH,Ohio,30.4,49.5,28.3,28.5
2013,OK,Oklahoma,32.5,43.9,24.3,33
2013,OR,Oregon,26.5,64.1,31.6,18.5
2013,PA,Pennsylvania,30,47.8,29.1,26.3
2013,RI,Rhode Island,27.3,49.1,29.5,26.9
2013,SC,South Carolina,31.7,49.1,27,26.9
