fYearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity,low_fruit_consumption,low_vegetable_consumption
2017,AL,Alabama,36.3,42.8,26,32,44.9,19.3
2017,AK,Alaska,34.2,58.3,34.7,20.6,36.9,19
2017,AZ,Arizona,29.5,52.7,31.5,25.1,37.2,20.8
2017,AR,Arkansas,35,45.4,25.6,32.5,44.7,19.3
2017,CA,California,25.1,57.5,34.3,20,32.5,21.4
2017,CO,Colorado,22.6,58.7,35.5,19.5,33,17.4
2017,CT,Connecticut,26.9,51.9,33.6,24,31.5,16.9
2017,DE,Delaware,31.8,46.3,28.6,31,35.4,17.2
2017,DC,District of Columbia,23,48.8,30.3,23,30.6,13.7
2017,FL,Florida,28.4,49.5,30,29.2,34.4,19.4
2017,GA,Georgia,31.6,46.1,31.4,31,38.6,18.1
2017,HI,Hawaii,23.8,56.5,35.4,23.5,37,21
2017,ID,Idaho,29.3,54.8,32.5,24.2,35.4,15.9
2017,IL,Illinois,31.1,52.5,30.7,24,33.3,21.3
2017,IN,Indiana,33.6,46.4,27.2,29.8,40.7,19.2
2017,IA,Iowa,36.4,50.2,28.9,25,35.6,19.3
2017,KS,Kansas,32.4,49.3,28.5,27.9,37.6,17.3
2017,KY,Kentucky,34.3,44.7,26.4,34.4,42.7,17
2017,LA,Louisiana,36.2,45,28,31.8,45,23.9
2017,ME,Maine,29.1,52.8,29.5,25.2,31.4,12.4
2017,MD,Maryland,31.3,50.6,31.9,25.6,34.3,18.3
2017,MA,Massachusetts,25.9,50.9,31.2,24.8,31.2,16.7
2017,MI,Michigan,32.3,49.5,29.9,27.2,36.4,18.5
2017,MN,Minnesota,28.4,51.1,31.4,24.6,32.3,18
2017,MS,Mississippi,37.3,44.7,25.9,33.2,46.3,21.4
2017,MO,Missouri,32.5,47.4,28.5,29.2,39.9,16.9
2017,MT,Montana,25.3,54.6,30.2,25,36.4,15.1
2017,NE,Nebraska,32.8,49.4,29.8,25.4,36.9,20
2017,NV,Nevada,26.7,47,31.3,28,37.6,22.1
2017,NH,New Hampshire,28.1,54.4,30.4,23.9,30.3,13.7
2017,NJ,New Jersey,27.3,48.9,32.8,29,33.7,19.1
2017,NM,New Mexico,28.4,54,32.8,24.5,37.4,20.5
2017,NY,New York,25.7,49.3,29.9,27.2,33.5,20.3
2017,NC,North Carolina,32.1,49.2,29.4,25.6,37.4,15.6
2017,ND,North Dakota,33.2,45.7,30.2,27.6,36.8,19.8
2017,OH,Ohio,33.8,47.8,29.2,29.6,37.7,18.7
2017,OK,Oklahoma,36.5,42.5,25.5,32.4,45.8,17.1
2017,OR,Oregon,29.4,56.9,31.1,21.4,33,16.4
2017,PA,Pennsylvania,31.6,53,30.4,24.9,34.1,16.4
2017,RI,Rhode Island,30,50.6,28.8,26.3,33.7,17.9
2017,SC,South Carolina,34.1,48.6,27.4,28.4,40.6,18
2017,SD,South Dakota,31.9,50.8,28.3,24.9,36.9,16.9
2017,TN,Tennessee,32.8,47,26.6,30.6,38.9,15.8
2017,TX,Texas,33,41.9,29.2,32.1,39.4,21.9
2017,UT,Utah,25.3,54,33.3,21.1,32.1,17.3
2017,VT,Vermont,27.6,59.7,31.4,21.6,29.7,12.9
2017,VA,Virginia,30.1,50.9,32.5,25.9,36.6,15.8
2017,WA,Washington,27.7,57.9,32.6,19.2,32.1,16.8
2017,WV,West Virginia,38.1,48.1,22.6,31.6,44.9,18.3
2017,WI,Wisconsin,32,57.1,30.6,22.4,32.4,19
2017,WY,Wyoming,28.8,53.9,32.9,25.7,37.7,15.3
2017,US,National,30.1,50.3,30.5,26.6,36,19
2017,GU,Guam,34.3,44.6,32.5,33.4,44.1,26.7
2017,PR,Puerto Rico,32.9,19.6,9.8,54,56,46
2019,AL,Alabama,36.1,45.9,29.2,31.5,46.1,22.3
2019,AK,Alaska,30.5,57.3,37.6,21.7,42.8,19
2019,AZ,Arizona,31.4,54.7,37.7,24.1,38.5,21.9
2019,AR,Arkansas,37.4,46.8,32.2,31.2,46.5,21.6
2019,CA,California,26.2,55,33.7,22.4,36.2,23.9
2019,CO,Colorado,23.8,59.3,39.3,18.7,37,19.5
2019,CT,Connecticut,29.1,54.4,39.4,23.5,34.1,19.9
2019,DE,Delaware,34.4,51.6,37,26.6,37,20.3
2019,DC,District of Columbia,23.8,56.1,40.6,19,35.6,16.5
2019,FL,Florida,27,55.1,38.1,26.5,38.3,21.3
2019,GA,Georgia,33.1,49.1,38.2,27.9,43.1,19
2019,HI,Hawaii,25,56,37.9,24.4,40.3,22
2019,ID,Idaho,29.5,57.4,31.2,23.8,36.8,16.6
2019,IL,Illinois,31.6,50.5,37.1,25.6,38.3,23.4
2019,IN,Indiana,35.3,46.9,35.3,30.9,41.6,21.3
2019,IA,Iowa,33.9,49.1,32.9,26.5,40.5,22.7
