YearStart,LocationAbbr,LocationDesc,obesity,aerobic_activity_150,muscle_strengthening_2plus,no_leisure_physical_activity,low_fruit_consumption,low_vegetable_consumption
2011,AL,Alabama,32,42.4,24.7,32.6,NA,NA
2011,AK,Alaska,27.4,57.9,33.8,22,NA,NA
2011,AZ,Arizona,25.1,52.8,32.5,24.1,NA,NA
2011,AR,Arkansas,30.9,45.7,24.7,30.9,NA,NA
2011,CA,California,23.8,58.2,32.1,19.1,NA,NA
2011,CO,Colorado,20.7,61.8,35.6,16.5,NA,NA
2011,CT,Connecticut,24.5,52.6,30.6,25.5,NA,NA
2011,DE,Delaware,28.8,48.5,32.3,27,NA,NA
2011,DC,District of Columbia,23.7,57.6,36.1,19.8,NA,NA
2011,FL,Florida,26.6,52.8,29.2,26.9,NA,NA
2011,GA,Georgia,28,50.7,30.2,26.7,NA,NA
2011,HI,Hawaii,21.8,58.5,32.1,21.3,NA,NA
2011,ID,Idaho,27,57.2,30.3,21.4,NA,NA
2011,IL,Illinois,27.1,51.7,31.4,25.1,NA,NA
2011,IN,Indiana,30.8,46,26,29.2,NA,NA
2011,IA,Iowa,29,47.6,27.5,25.9,NA,NA
2011,KS,Kansas,29.6,46.8,24.5,26.8,NA,NA
2011,KY,Kentucky,30.4,46.8,26.3,29.3,NA,NA
2011,LA,Louisiana,33.4,42,23.9,33.8,NA,NA
2011,ME,Maine,27.8,56.7,27.5,23,NA,NA
2011,MD,Maryland,28.3,48.7,30.2,26.2,NA,NA
2011,MA,Massachusetts,22.7,56.3,32,23.5,NA,NA
2011,MI,Michigan,31.3,53.5,28.8,23.6,NA,NA
2011,MN,Minnesota,25.7,54,29.6,21.9,NA,NA
2011,MS,Mississippi,34.9,40,23.9,36,NA,NA
2011,MO,Missouri,30.3,49.5,24.7,28.4,NA,NA
2011,MT,Montana,24.6,55.3,30.2,24.4,NA,NA
2011,NE,Nebraska,28.4,49,28.1,26.3,NA,NA
2011,NV,Nevada,24.5,52.6,30.1,24.3,NA,NA
2011,NH,New Hampshire,26.2,56.1,30.4,22.5,NA,NA
2011,NJ,New Jersey,23.7,53.2,31.7,26.4,NA,NA
2011,NM,New Mexico,26.3,52.2,31.5,25.3,NA,NA
